country,year,gdp
Kyrgyz Republic,2000,1369693171.43504
Lao PDR,2000,1731198022.45494
Latvia,2000,7937758980.30127
Lebanon,2000,17260364842.4544
Lesotho,2000,887295267.875155
Liberia,2000,529064600
Libya,2000,38270206950.41
Liechtenstein,2000,2483953102.79488
Lithuania,2000,11539211480.3625
Luxembourg,2000,21263514833.2412
"Macao SAR, China",2000,6720492405.83611
"Macedonia, FYR",2000,3772851420.24763
Madagascar,2000,3877673539.09084
Malawi,2000,1743506287.41519
Malaysia,2000,93789736842.1053
Maldives,2000,624337145.284622
Mali,2000,2954129565.82965
Malta,2000,4306192435.82207
Marshall Islands,2000,110937700
Mauritania,2000,1293654175.2102
Mauritius,2000,4582555124.64952
Mexico,2000,683647965226.955
"Micronesia, Fed. Sts.",2000,233226300
Moldova,2000,1288429150.51394
Monaco,2000,2647883820.18625
Mongolia,2000,1136896123.61298
Montenegro,2000,984279598.325251
Morocco,2000,38857251336.3448
Mozambique,2000,5016469068.50898
Myanmar,2000,8905066163.58643
Namibia,2000,3908661517.62299
Nepal,2000,5494252207.90502
Netherlands,2000,412807259996.315
New Caledonia,2000,2682347064.3642
New Zealand,2000,52623281956.7031
Nicaragua,2000,5107329007.0922
Niger,2000,1798374468.36362
Nigeria,2000,46386011231.37
Norway,2000,171315639982.731
Oman,2000,19507412223.6671
Pakistan,2000,73952374969.7995
Palau,2000,147832600
Panama,2000,12304115000
Papua New Guinea,2000,3521348154.79666
Paraguay,2000,8195993230.74275
Peru,2000,51744749133.213
Philippines,2000,81026297144.2795
Poland,2000,171885598582.637
Portugal,2000,118358489957.619
Puerto Rico,2000,61701810000
Qatar,2000,17759890109.8901
Romania,2000,37438527799.5302
Russian Federation,2000,259708496267.33
Rwanda,2000,1734938264.47371
Samoa,2000,269019710.327456
San Marino,2000,1101897071.81909
Saudi Arabia,2000,189514926213.333
Senegal,2000,4679604753.55711
Serbia,2000,6540247190.33529
Seychelles,2000,614879764.780006
Sierra Leone,2000,635874002.198748
Singapore,2000,95833932714.6172
Slovak Republic,2000,29114875621.8905
Slovenia,2000,20342201356.0052
Solomon Islands,2000,435103853.485036
South Africa,2000,136361854808.496
Spain,2000,595402616546.895
Sri Lanka,2000,16330814179.9766
St. Kitts and Nevis,2000,420515107.700293
St. Lucia,2000,784159222.222222
St. Vincent and the Grenadines,2000,396270000
Sudan,2000,12257418326.0734
Suriname,2000,892164393.939394
Swaziland,2000,1738100853.05052
Sweden,2000,259802012617.057
Switzerland,2000,272055499940.786
Syrian Arab Republic,2000,19325894913.1254
Tajikistan,2000,860550305.832491
Tanzania,2000,10185786382.8283
Thailand,2000,126392308497.749
Timor-Leste,2000,350391812.528246
Togo,2000,1294250233.18894
Tonga,2000,202363492.160332
Trinidad and Tobago,2000,8154338232.95978
Tunisia,2000,21473188881.5933
Turkey,2000,272979390595.01
Turkmenistan,2000,2904662604.82053
Tuvalu,2000,13742057.0500928
Uganda,2000,6193246837.09687
Ukraine,2000,31261527363.144
United Arab Emirates,2000,104337372362.151
United Kingdom,2000,1647951278559.54
United States,2000,10284779000000
Uruguay,2000,22823255801.8447
Uzbekistan,2000,13760374487.51
Vanuatu,2000,272014693.050806
"Venezuela, RB",2000,117140723529.412
Vietnam,2000,31172518403.3162
West Bank and Gaza,2000,4313600000
"Yemen, Rep.",2000,9636342274.82408
Zambia,2000,3600683039.73254
Zimbabwe,2000,6689957600
